nanoId;country;region;province;department;village;onchainId;latitude;longitude;openstreetmap;coordinatesLevel
jxmbyupsh1rv;BF;Centre Nord;Sanmatenga;KAYA;Basberike;0x9492fef57f9e671753f92b78a9958ada;13.148262;-1.0357304;https://www.openstreetmap.org/#map=14/13.148262/-1.0357304;VILLAGE
DY4nWRvFhejq;BF;Centre Nord;Sanmatenga;KAYA;Bissiga;0x3c03c7ce5e8810e0d2e86de607e53261;11.8230575;-0.11855607071463106;https://www.openstreetmap.org/#map=14/11.8230575/-0.11855607071463106;VILLAGE
thq-rpJANaBw;BF;Centre Nord;Sanmatenga;KAYA;Tangasgo;0x8f747436abbde18b5d7464a62909f7d7;13.1472225;-1.0684723;https://www.openstreetmap.org/#map=14/13.1472225/-1.0684723;VILLAGE
9HMBI-OmVmIB;BF;Plateau Central;Ganzourgou;ZORGHO;Souka;0x50ed0cb0ee8803c2e0038b6e799f0157;12.266667;-0.516667;https://www.openstreetmap.org/#map=14/12.266667/-0.516667;VILLAGE
jZGa2a8jve1q;BF;Plateau Central;Ganzourgou;ZORGHO;Bougr̩;0x030fc9e1ee0ea08b225da8eb19db7688;12.2465618;-0.6278012;https://www.openstreetmap.org/#map=14/12.2465618/-0.6278012;DEPARTMENT
rdHnV6gWoylr;BF;Plateau Central;Ganzourgou;ZORGHO;Tintog-Nabitenga;0xd19aaf8fcc6faecbbc49cff86bd38cd3;12.2465618;-0.6278012;https://www.openstreetmap.org/#map=14/12.2465618/-0.6278012;DEPARTMENT
vOEauVq4Jwjf;BF;Plateau Central;Ganzourgou;ZORGHO;Bangbily;0x77f52e1eef2cc8493ae11b1522f00f1d;12.2465618;-0.6278012;https://www.openstreetmap.org/#map=14/12.2465618/-0.6278012;DEPARTMENT
7A0UOIVZZNAf;BF;Plateau Central;Ganzourgou;ZORGHO;Wagu̩sse;0xe0a603804a3974edc7b96db9bf595c62;12.2465618;-0.6278012;https://www.openstreetmap.org/#map=14/12.2465618/-0.6278012;DEPARTMENT
54vWZV7PHuun;BF;Plateau Central;Ganzourgou;ZORGHO;Zeguedega;0xde1c74fb56fff29de63019c269577cec;11.909836;-0.372659;https://www.openstreetmap.org/#map=14/11.909836/-0.372659;VILLAGE
1nM1cPOFT-vp;BF;Plateau Central;Ganzourgou;ZORGHO;Tamasgo de Bougr̩;0x90143f9553846d13d031e6bdcdfcbbb2;12.2465618;-0.6278012;https://www.openstreetmap.org/#map=14/12.2465618/-0.6278012;DEPARTMENT
91dD3WPcCBzN;BF;Plateau Central;Ganzourgou;ZORGHO;Dour̩;0x8a45a5d27b46db636e82cb0a1f493af6;12.2465618;-0.6278012;https://www.openstreetmap.org/#map=14/12.2465618/-0.6278012;DEPARTMENT
0nrdAnnLHhLW;BF;Plateau Central;Ganzourgou;ZORGHO;Tuir̩;0x7c1ae508a7deab4b519a4f3bdb64e7e7;12.2465618;-0.6278012;https://www.openstreetmap.org/#map=14/12.2465618/-0.6278012;DEPARTMENT
ex496Gk4LLcJ;BF;Plateau Central;Ganzourgou;ZORGHO;Tuir̩-Peulh;0xdfe85beea8c371a516193b1f903b57f5;12.2465618;-0.6278012;https://www.openstreetmap.org/#map=14/12.2465618/-0.6278012;DEPARTMENT
8LMm0zrKVwh_;BF;Plateau Central;Ganzourgou;ZORGHO;Tuir̩-peulh;0xcd38e67012b6138700d8aa14bbfe5641;12.2465618;-0.6278012;https://www.openstreetmap.org/#map=14/12.2465618/-0.6278012;DEPARTMENT
JUTWzPLNCi4K;BF;Plateau Central;Ganzourgou;ZORGHO;Bissiga;0xaed9260a0388b147bb49036131363d0f;11.8230575;-0.11855607071463106;https://www.openstreetmap.org/#map=14/11.8230575/-0.11855607071463106;VILLAGE
s4G43fWTyAL3;BF;Plateau Central;Ganzourgou;ZORGHO;Signonghin;0x7fa246df1ae9bffcf60ba6315835f1cb;12.3645861;-1.4186608;https://www.openstreetmap.org/#map=14/12.3645861/-1.4186608;VILLAGE
kchozKmVyRSV;BF;Plateau Central;Ganzourgou;ZORGHO;Godin;0xab7a83cf6ea232aa25cadcec8b61a4ee;12.3830132;-2.3026979;https://www.openstreetmap.org/#map=14/12.3830132/-2.3026979;VILLAGE
0IWAueKH968O;BF;Plateau Central;Ganzourgou;ZORGHO;Bissaga;0x49c3495c6415808241c9667dd7cc8774;12.2465618;-0.6278012;https://www.openstreetmap.org/#map=14/12.2465618/-0.6278012;DEPARTMENT
SQLR5Cc5r6NR;BF;Plateau Central;Ganzourgou;ZORGHO;Nabmassa;0x48d7e112e7d015e705d8292047cd515a;12.0827785;-2.2593856;https://www.openstreetmap.org/#map=14/12.0827785/-2.2593856;VILLAGE
3f4cBlLYxv7C;BF;Plateau Central;Ganzourgou;ZORGHO;Songdin;0x0adc8bea3db94d8a15f12db96be74fb7;13.4149493;-2.5521648;https://www.openstreetmap.org/#map=14/13.4149493/-2.5521648;VILLAGE
X35oO-Fi387m;BF;Plateau Central;Ganzourgou;ZORGHO;Nabinkins;0xf4a85b935de215a7ac019ff92c7e5303;12.2465618;-0.6278012;https://www.openstreetmap.org/#map=14/12.2465618/-0.6278012;DEPARTMENT
6j2mUs-SDgOF;BF;Plateau Central;Ganzourgou;ZORGHO;Kolongkom;0x97241934c24b8afb699f2b62ce5dc15d;12.2465618;-0.6278012;https://www.openstreetmap.org/#map=14/12.2465618/-0.6278012;DEPARTMENT
4J-zdNyMH1iG;BF;Plateau Central;Ganzourgou;ZORGHO;Gondin;0xe14e0b788c5766ab4d2a2ee447f65d79;12.2465618;-0.6278012;https://www.openstreetmap.org/#map=14/12.2465618/-0.6278012;DEPARTMENT
Yi2r0MtrD1G6;BF;Plateau Central;Ganzourgou;ZORGHO;Digr̩;0x39adebea39df6c34068e1722ae147e6f;12.2465618;-0.6278012;https://www.openstreetmap.org/#map=14/12.2465618/-0.6278012;DEPARTMENT
BcY_aniic3Pw;BF;Plateau Central;Ganzourgou;ZORGHO;Gonkin;0xeb14086538d32b9e18ed49f87707f190;11.9570362;-0.3723599;https://www.openstreetmap.org/#map=14/11.9570362/-0.3723599;VILLAGE
gFa8Yt_zja9N;BF;Plateau Central;Ganzourgou;ZORGHO;Tintogo;0xef5a12c9fa25268a70f1df9b19c7fc1e;12.2465618;-0.6278012;https://www.openstreetmap.org/#map=14/12.2465618/-0.6278012;DEPARTMENT
EJi7BNqZ7w2s;BF;Plateau Central;Ganzourgou;ZORGHO;Zinado;0x87670f7af931f922fa86d78f5734d63f;12.183333;-0.666667;https://www.openstreetmap.org/#map=14/12.183333/-0.666667;VILLAGE
