nanoId,country,region,province,department,village
3BYonM5IuQTy,BF,Plateau Central,Oubritenga,ZITENGA,Bissiga Yarcé
HWJQ4SVJPNx1,BF,Plateau Central,Oubritenga,ZITENGA,Nioniopalogo
byfkAvTMbg4K,BF,Plateau Central,Oubritenga,ZITENGA,Kogmasgo
1v0iZX1GAmUr,BF,Plateau Central,Oubritenga,ZITENGA,Zakin
D8wAMNI23msz,BF,Plateau Central,Oubritenga,ZITENGA,Banguissom
o2h5lyRH6IcI,BF,Plateau Central,Oubritenga,ZITENGA,Komnongo
3vmRLPRYoKIP,BF,Plateau Central,Oubritenga,ZITENGA,Dayagretenga
YKEVQ0XoVXDb,BF,Plateau Central,Oubritenga,ZITENGA,Zegdegin
BkwyI9alkpqH,BF,Plateau Central,Oubritenga,ZITENGA,Zeguedgin
66wqtjMBmjZP,BF,Plateau Central,Oubritenga,ZITENGA,Barkoundba Mossi
BFBZwoDxB-IP,BF,Plateau Central,Oubritenga,ZITENGA,Nionk Mossi
-Shklu3eBFM8,BF,Plateau Central,Oubritenga,ZITENGA,Nionk Peulh
0eXEK5OtaTBs,BF,Plateau Central,Oubritenga,ZITENGA,Pendemtenga
81k85UN6Vzr0,BF,Plateau Central,Oubritenga,ZITENGA,Lemnongo
6VZQf2YHu4ds,BF,Plateau Central,Oubritenga,ZITENGA,Bissiga Irané
Gmslz92WN1Gp,BF,Plateau Central,Oubritenga,ZITENGA,Bissiga Mossi
dYLBuW3aOYPF,BF,Plateau Central,Oubritenga,ZITENGA,Tampanga
FrxCnde2DCdG,BF,Plateau Central,Oubritenga,ZITENGA,Lékexé
O7GG8ux1okGw,BF,Nord,Yatenga,RAMBO,RAMBO
WCWv-0pi3kfb,BF,Nord,Yatenga,RAMBO,NIOUSSI-TANGAYE
mVhLjLdqpj5i,BF,Nord,Yatenga,KOSSOUKA,Kossouka
b-3TPftwbwK4,BF,Nord,Yatenga,KOSSOUKA,Koussouka
b4KHGP1XiSPp,BF,Nord,Yatenga,KOSSOUKA,Sèkeba
nLmZ5GoXSM5s,BF,Nord,Yatenga,KOSSOUKA,Magarougou
ZF6kOsvMOtzC,BF,Nord,Yatenga,OULA,Boursouma
dfP9aPBAobvj,BF,Nord,Yatenga,OULA,Bouro
qOLVMrQCnb2F,BF,Nord,Yatenga,OULA,Bilinga
IUy3zBXUIvDb,BF,Nord,Yatenga,KOSSOUKA,Kapelego-Tangaye
xAD8TaL5K9p-,BF,Nord,Yatenga,KOSSOUKA,Samtaga
SFIi1A5Yvx6c,BF,Nord,Yatenga,OULA,Kourbo Mogo
Tnsl6W6pWSc0,BF,Nord,Yatenga,OULA,Reka
azXuO3PPwGnw,BF,Nord,Yatenga,OULA,Tilli
sJRA7khwXy97,BF,Nord,Yatenga,RAMBO,Koungo
qAqknrGJQtk4,BF,Nord,Yatenga,RAMBO,Koumna yargo
BrrOgcTtxzga,BF,Nord,Yatenga,RAMBO,Koumna Yargo
kQ8UEJ-E9TI-,BF,Nord,Yatenga,RAMBO,Tantoaga
ZH88D7vIr4Dx,BF,Nord,Yatenga,RAMBO,Nioussi-Tangaye
FS3u_UuYo43T,BF,Nord,Zondoma,BASSI,Bassi
PES0LlXyNZhm,BF,Nord,Passore,BOKIN,Siguidiguen
ELKTOCZnyVeG,BF,Nord,Passore,BOKIN,Tegsagbo
3eDuSeLeVPLN,BF,Nord,Zondoma,BASSI,Guiriguiri
jjaMrBtULPBU,BF,Nord,Zondoma,BASSI,Tilba
JN6UJOK6mmx9,BF,Nord,Passore,BOKIN,Zilaoré
KHUuTgSzMbrP,BF,Nord,Zondoma,BASSI,Songodin
vHjUXy7p9kUH,BF,Nord,Passore,BOKIN,Pépin
JyipDNMz6MGb,BF,Nord,Passore,BOKIN,Booré
zfs5foUFk4Dl,BF,Nord,Passore,BOKIN,Tibin
ayWT_WGOLnBW,BF,Nord,Zondoma,BASSI,Rondolga
xKOGGTK6-AsB,BF,Nord,Passore,BOKIN,Guila
67hNLgyTaGTF,BF,Nord,Passore,BOKIN,Wapensé
4htzwfoKpCK-,BF,Nord,Zondoma,BASSI,Saye
9Tf2_hYLeBH8,BF,Nord,Zondoma,BASSI,Sapela
2SPLG9A9jq0C,BF,Nord,Passore,BOKIN,Seguedin
_XpYQ5lsazsg,BF,Nord,Zondoma,BASSI,Guiri-Guiri
hTl4UiUXKlrS,BF,Centre Nord,Sanmatenga,KORSIMORO,Kirbaka
JuZvaI3kinhr,BF,Centre Nord,Sanmatenga,KORSIMORO,Komtenga
PPVPzGkf88H9,BF,Centre Nord,Sanmatenga,KORSIMORO,SECTTEUR 3
QG8S_uDhjESL,BF,Centre Nord,Sanmatenga,KORSIMORO,Yonyonsi
