yelenId;year;seasonStart;seasonEnd;indexType;locationNanoId;region;province;department;city;beneficiarySex;subscriptionDate;premium;sumInsured;triggerSevere;payoutSevere;triggerMedium;payoutMedium;triggerLow;payoutLow;indexReferenceValue;indexEndOfSeasonValue;indexRatio;payoutEstimated
QF103632;2023;Decade 13;Decade 32;WRSI Fusion;mVhLjLdqpj5i;Nord;Yatenga;KOSSOUKA;;F;2023-10-03 00:00:00;12600;100000;0.7;100000;0.8;25000;0.9;10000;77.6990836816241;74.7462951308723;0.9619971251803817;0
QF103633;2023;Decade 13;Decade 32;WRSI Fusion;b-3TPftwbwK4;Nord;Yatenga;KOSSOUKA;;M;2023-10-03 00:00:00;12600;100000;0.7;100000;0.8;25000;0.9;10000;77.6990836816241;74.7462951308723;0.9619971251803817;0
QF103634;2023;Decade 13;Decade 32;WRSI Fusion;b-3TPftwbwK4;Nord;Yatenga;KOSSOUKA;;M;2023-10-03 00:00:00;12600;100000;0.7;100000;0.8;25000;0.9;10000;77.6990836816241;74.7462951308723;0.9619971251803817;0
QF103635;2023;Decade 13;Decade 32;WRSI Fusion;b-3TPftwbwK4;Nord;Yatenga;KOSSOUKA;;M;2023-10-03 00:00:00;12600;100000;0.7;100000;0.8;25000;0.9;10000;77.6990836816241;74.7462951308723;0.9619971251803817;0
QF103636;2023;Decade 13;Decade 32;WRSI Fusion;mVhLjLdqpj5i;Nord;Yatenga;KOSSOUKA;;F;2023-10-03 00:00:00;12600;100000;0.7;100000;0.8;25000;0.9;10000;77.6990836816241;74.7462951308723;0.9619971251803817;0
QF103637;2023;Decade 13;Decade 32;WRSI Fusion;b-3TPftwbwK4;Nord;Yatenga;KOSSOUKA;;F;2023-10-03 00:00:00;12600;100000;0.7;100000;0.8;25000;0.9;10000;77.6990836816241;74.7462951308723;0.9619971251803817;0
QF103638;2023;Decade 13;Decade 32;WRSI Fusion;mVhLjLdqpj5i;Nord;Yatenga;KOSSOUKA;;F;2023-10-03 00:00:00;12600;100000;0.7;100000;0.8;25000;0.9;10000;77.6990836816241;74.7462951308723;0.9619971251803817;0
QF103639;2023;Decade 13;Decade 32;WRSI Fusion;b-3TPftwbwK4;Nord;Yatenga;KOSSOUKA;;F;2023-10-03 00:00:00;12600;100000;0.7;100000;0.8;25000;0.9;10000;77.6990836816241;74.7462951308723;0.9619971251803817;0
QF103640;2023;Decade 13;Decade 32;WRSI Fusion;mVhLjLdqpj5i;Nord;Yatenga;KOSSOUKA;;F;2023-10-03 00:00:00;12600;100000;0.7;100000;0.8;25000;0.9;10000;77.6990836816241;74.7462951308723;0.9619971251803817;0
QF103641;2023;Decade 13;Decade 32;WRSI Fusion;b-3TPftwbwK4;Nord;Yatenga;KOSSOUKA;;F;2023-10-03 00:00:00;12600;100000;0.7;100000;0.8;25000;0.9;10000;77.6990836816241;74.7462951308723;0.9619971251803817;0
